,instrument,timestamp,value,type,datetime
0,BTCUSDT,1669852800000,129827.771,,2022-12-01 08:00:00
1,BTCUSDT,1669939200000,128788.774,,2022-12-02 08:00:00
2,BTCUSDT,1670025600000,129658.339,,2022-12-03 08:00:00
3,BTCUSDT,1670112000000,135962.081,,2022-12-04 08:00:00
4,BTCUSDT,1670198400000,122837.396,,2022-12-05 08:00:00
5,BTCUSDT,1670284800000,110512.961,,2022-12-06 08:00:00
6,BTCUSDT,1670371200000,107669.159,,2022-12-07 08:00:00
7,BTCUSDT,1670457600000,110661.814,,2022-12-08 08:00:00
8,BTCUSDT,1670544000000,108933.686,,2022-12-09 08:00:00
9,BTCUSDT,1670630400000,109872.59199999999,,2022-12-10 08:00:00
10,BTCUSDT,1670716800000,109049.569,,2022-12-11 08:00:00
11,BTCUSDT,1670803200000,104619.43199999999,,2022-12-12 08:00:00
12,BTCUSDT,1670889600000,107222.80300000001,,2022-12-13 08:00:00
13,BTCUSDT,1670976000000,111787.367,,2022-12-14 08:00:00
14,BTCUSDT,1671062400000,108234.665,,2022-12-15 08:00:00
15,BTCUSDT,1671148800000,98151.87,,2022-12-16 08:00:00
16,BTCUSDT,1671235200000,99332.36099999999,,2022-12-17 08:00:00
17,BTCUSDT,1671321600000,98425.023,,2022-12-18 08:00:00
18,BTCUSDT,1671408000000,97353.27699999999,,2022-12-19 08:00:00
19,BTCUSDT,1671494400000,95130.883,,2022-12-20 08:00:00
20,BTCUSDT,1671580800000,95901.48199999999,,2022-12-21 08:00:00
21,BTCUSDT,1671667200000,99463.284,,2022-12-22 08:00:00
22,BTCUSDT,1671753600000,98291.965,,2022-12-23 08:00:00
23,BTCUSDT,1671840000000,98004.04800000001,,2022-12-24 08:00:00
24,BTCUSDT,1671926400000,97404.95300000001,,2022-12-25 08:00:00
25,BTCUSDT,1672012800000,96533.445,,2022-12-26 08:00:00
26,BTCUSDT,1672099200000,103196.123,,2022-12-27 08:00:00
27,BTCUSDT,1672185600000,106381.585,,2022-12-28 08:00:00
28,BTCUSDT,1672272000000,106946.886,,2022-12-29 08:00:00
29,BTCUSDT,1672358400000,107691.786,,2022-12-30 08:00:00
30,ETHUSDT,1669852800000,1510862.305,,2022-12-01 08:00:00
31,ETHUSDT,1669939200000,1596342.404,,2022-12-02 08:00:00
32,ETHUSDT,1670025600000,1361446.529,,2022-12-03 08:00:00
33,ETHUSDT,1670112000000,1186964.051,,2022-12-04 08:00:00
34,ETHUSDT,1670198400000,1108284.985,,2022-12-05 08:00:00
35,ETHUSDT,1670284800000,1116727.9409999999,,2022-12-06 08:00:00
36,ETHUSDT,1670371200000,1177838.283,,2022-12-07 08:00:00
37,ETHUSDT,1670457600000,1209678.658,,2022-12-08 08:00:00
38,ETHUSDT,1670544000000,1154976.986,,2022-12-09 08:00:00
39,ETHUSDT,1670630400000,1160252.537,,2022-12-10 08:00:00
40,ETHUSDT,1670716800000,1164109.2659999998,,2022-12-11 08:00:00
41,ETHUSDT,1670803200000,1098148.2920000001,,2022-12-12 08:00:00
42,ETHUSDT,1670889600000,1138657.925,,2022-12-13 08:00:00
43,ETHUSDT,1670976000000,1105202.7659999998,,2022-12-14 08:00:00
44,ETHUSDT,1671062400000,1106578.977,,2022-12-15 08:00:00
45,ETHUSDT,1671148800000,1041621.8640000001,,2022-12-16 08:00:00
46,ETHUSDT,1671235200000,1044096.5920000001,,2022-12-17 08:00:00
47,ETHUSDT,1671321600000,1029744.683,,2022-12-18 08:00:00
48,ETHUSDT,1671408000000,1050948.886,,2022-12-19 08:00:00
49,ETHUSDT,1671494400000,1054005.893,,2022-12-20 08:00:00
50,ETHUSDT,1671580800000,1057763.469,,2022-12-21 08:00:00
51,ETHUSDT,1671667200000,1040659.3509999999,,2022-12-22 08:00:00
52,ETHUSDT,1671753600000,1054404.254,,2022-12-23 08:00:00
53,ETHUSDT,1671840000000,1070355.288,,2022-12-24 08:00:00
54,ETHUSDT,1671926400000,1050540.383,,2022-12-25 08:00:00
55,ETHUSDT,1672012800000,1061794.673,,2022-12-26 08:00:00
56,ETHUSDT,1672099200000,1111489.793,,2022-12-27 08:00:00
57,ETHUSDT,1672185600000,1122195.106,,2022-12-28 08:00:00
58,ETHUSDT,1672272000000,1107400.9440000001,,2022-12-29 08:00:00
59,ETHUSDT,1672358400000,1111394.88,,2022-12-30 08:00:00
